category,date,contents,title
모두의공원,2019-03-18,원래 이런건 오지랖이 넓어서 그런거 같은데 정말 왜 그러는지 이해가 안가네요. kt에 직접 해지하라고 해야하는건데 왜 케이블을 끊지..... 저는 유플러스에 이해가 안가는게 가입했던 상품보다 하위 상품으로...,<span>복습하다보니 <b>skb</b> 방문 엔지니어가 kt 광케이블을 끊었다는 걸 봤는데요 : 클리앙</span>
모두의공원,2019-03-17,"케이티 허브에서 공인 아이피로 셋탑에 바로 라인 하나가 나가서 괜찮았던고 같은데 신혼집에선 , - 공유기 - 티비 나스 컴터 연결 구조 때문인지 묘하게 거슬리네요... 셋탑에 qos걸고 한번 다시 테스트를...",<span>공유기를 바꿔야 할까 봅니다 : 클리앙</span>
모두의공원,2019-03-15,"이게 아파트에서 4선인입->,공유기(500M 뻥튀기)->플스 이런방식인데 그 뻥튀기 장비가 공유기 역할 하면서 아주 거지같이-_-......포트포워딩이나 DMZ가 플스에 잘 적용이 안돼서.. 브릿지모드를 쓰자니 또...",<span>반기가 플스 NAT1 만드는건 역시 쉽지않네요 : 클리앙</span>
모두의공원,2019-03-12,"하나씩 구매를 해서 볼 수 있게 해줬으면 좋겠네요. 넷플릭스 독점을 보는 방법은 정기결제밖에 없는게 너무 아쉽네여 정기결제를 하자니 또 잘 보지도 않고 집이 ,라서 분명히 엄청 끊길거구 ㅠㅠ 안녕 넷플릭스",<span>넷플릭스는 재밌는게 많네요 : 클리앙</span>
모두의공원,2019-03-11,"인도네시아 한인 봉제업체 ㈜에스카베(,) 사장의 야반도주 및 임금 체불 사건(한국일보 7일자 1, 2면)에 대한 우리 정부의 관심과 노력에 현지 주무 장관이 감사를 표했다. 한국 대사관과 한인 기업인들은...","<span>인도네시아, '한인업체 임금체불 관련, 한국정부 노력에 고맙다' : 클리앙</span>"
모두의공원,2019-03-06,"수 있는 서비스다. 언제 어디서든, 어느 디바이스에서도 PC에 접속할 수 있는 시대를 연다는 계획이다. ◇, 클라우드PC, 외산대비 속도·용량 2배= 아이디와 패스워드만으로 다른 디바이스를 개인 PC처럼 쓸 수...","<span><b>SKB</b>, PC본체도 셋톱도 필요없는 시대 연다. GISA : 클리앙</span>"
모두의공원,2019-03-05,반기가임에도 불구하고 피크타임에는 여지 없이 1mbps 미만을 찍는건 여전합니다만 한가한 시간에도 잘해야 20mbps 정도 나오던 것이 요즘은 이런 수치도 보여줍니다,<span><b>SKB</b> fast.com 요즘 개선된게 느껴집니다. : 클리앙</span>
모두의공원,2019-03-04,"제 방 인터넷은 KT, 본가+사무실은 ,였고 온가족이 다 skt를 쓰고 있어서 어찌저찌 결합해서 사무실 인터넷 회선 하나를 공짜로 쓰고 있는데 이게 크네요. 사무실이라 인터넷만 쓴다고 해도 2만원 돈이라 이걸...","<span>집, 본가, 아버지 사무실 인터넷 새로 리프레시 하는데, : 클리앙</span>"
모두의공원,2019-02-27,"때 까지 3분이 넘게걸리길래 확인해보니 5.6Mbps 나오다가 새벽시간인 지금 확인하니 15Mbps 나오네요 , 진짜 ㅠㅠ 반기가 쓰는데 그래도 50Mbps 정도는 나와야지... 15가 뭔지.. 안그래도 비대칭 업로드 폭망...",<span>넷플릭스 속도가 안나와요.. ㅠㅠ : 클리앙</span>
모두의공원,2019-02-26,"남편암보험2 38,760 예전부터 유지라서 혜약하면 손해 집화재보험 30,000 화재 및 일상배상책임 보험 , 35,981 UHD 셋탑2대, 인터넷 가스비 50,000 겨울철이라서 이정도도 아껴씀 아파트관리비 150,000 카드...",<span>서울 2인 맞벌이 부부(자녀X) 생활 가계비용 정리 : 클리앙</span>
